,Star Name,Distance,Mass,Radius,Gravity
0,Sun,0.000015813,1.989e+30,695700000.0,274.2691614595739
1,Sirius,0008.6,4.1769e+30,1189647000.0,196.971799550325
2,Canopus,0310,2.9835e+31,49394700000.0,0.8161153386021839
3,Alpha Centauri,0004.4,2.1879e+30,834840000.0,209.51116500384123
4,Arcturus,0037,2.1879e+30,18088200000.0,0.44629597278924754
5,Vega,0025,4.3758e+30,1878390000.0000002,82.76984296448046
6,Capella,0043,5.1714e+30,8348400000.0,4.952082081908975
7,Rigel,0860,4.574699999999999e+31,54890730000.00001,1.01332978543217
8,Procyon,0011.4,2.9835e+30,1321830000.0,113.9622554541166
9,Betelgeuse,0640[1],3.978e+31,660915000000.0,0.006077986957552885
10,Achernar,0144,1.33263e+31,6470010000.000001,21.2464259657665
11,Hadar,0390,2.08845e+31,5983020000.0,38.937617567949246
12,Altair,0017,3.5802e+30,1252260000.0,152.37175636642996
13,Acrux,0320,3.5801999999999996e+31,6191730000.0,62.326030883377484
14,Aldebaran,0065,2.9835e+30,30610800000.0,0.21250193294905007
15,Antares,0600,2.3868e+31,473076000000.0,0.0071177118025840995
16,Spica,0260,2.2734269999999998e+31,5196879000.0,56.18003500809
17,Pollux,0034,3.7790999999999997e+30,6122160000.000001,6.729227876719916
18,Fomalhaut,0025,3.7790999999999997e+30,1252260000.0,160.8368539423427
19,Deneb,"2,600",3.7791e+31,141227100000.0,0.12645572733460908
20,Mimosa,0350,3.1824e+31,5843880000.0,62.19255361895101
21,Regulus,0077,7.558199999999999e+30,2156670000.0,108.45190567600218
22,Adhara,0430,2.48625e+31,9739800000.0,17.491655705329972
23,Shaula,0700,2.88405e+31,6122160000.000001,51.354633796020416
24,Castor,0052,5.5692e+30,1669680000.0,133.3252868206262
25,Gacrux,0088,2.9835e+30,58438800000.0,0.058305519017766566
26,Bellatrix,0240,1.7105399999999998e+31,4035060000.0,70.11637302474244
27,Elnath,0130,9.945e+30,2921940000.0,77.74069202368877
28,Miaplacidus,0110,6.9615e+30,4730760000.0,20.759992757536956
29,Alnilam,"2,000",6.3648e+31,29219400000.0,4.975404289516081
30,Gamma Velorum,"01,100",1.7900999999999998e+31,4174200000.0,68.56729036489348
31,Alnair,0101,7.956e+30,2365380000.0,94.90282403445465
32,Alioth,0081,5.7681e+30,2921940000.0,45.08960137373948
33,Alnitak,01050,6.5637e+31,13914000000.0,22.627205820414854
34,Dubhe,0120,8.453249999999999e+30,20871000000.0,1.2951599291146547
35,Mirfak,0590,1.6906499999999999e+31,47307600000.0,0.5041712526830403
36,Wezen,"1,600",3.3812999999999997e+31,139140000000.0,0.11656439362031894
37,Sargas,0270,1.13373e+31,18088200000.0,2.3126245862715553
38,Kaus Australis,0140,6.9615e+30,4730760000.0,20.759992757536956
